iata,name,city,country,latitude,longitude
FHZ,Fakahina Airport,FHZ,PF,-16.002711461158626,-140.08245338605587
FIC,Fire Cove Airport,FIC,US,55.77744212096683,-131.5339252246513
FID,Elizabeth Field,FID,US,40.995130077685864,-71.99787781475067
FIE,Fair Isle Airport,FIE,GB,59.49594053909434,-1.6615775580680632
FIG,Katourou Airport,FIG,GN,10.347617918032489,-13.561910917856013
FIH,N Djili International Airport,FIH,CD,-4.388856725728522,15.435483033609286
FIK,Finke Airport,FIK,AU,-25.571106393956565,134.58778476483405
FIL,Fillmore Municipal Airport,FIL,US,38.95539994999369,-112.35702165805995
FIN,Finschhafen Airport,FIN,PG,-6.629121634339093,147.86895100214045
FIV,Five Fingers Airport,FIV,US,57.26140317098965,-133.63094356400697
FIZ,Fitzroy Crossing Airport,FIZ,AU,-18.179950372316082,125.55797415375372
FJR,Fujairah International Airport,FJR,AE,25.107010407779832,56.33321119863618
FKB,Baden Airpark,FKB,DE,48.7758971650568,8.084434736548763
FKI,Bangoka International Airport,FKI,CD,0.5156619934196262,25.20441402798609
FKJ,Fukui Airport,FKJ,JP,36.13644769084061,136.2321801282713
FKL,Chess-Lambertin Airport,FKL,US,41.37901061470267,-79.85885864373422
FKN,Franklin Municipal Airport,FKN,US,36.680759126177264,-76.9310434144949
FKQ,Fak Fak Airport,FKQ,ID,-2.922084700525685,132.30167946849576
FKS,Fukushima Airport,FKS,JP,37.22506714641934,140.43769152478825
FLA,Capitolio Airport,FLA,CO,1.5870930645086048,-75.55594191946375
FLB,Cangapara Airport,FLB,BR,-6.801008894331164,-43.0291296766644
FLC,Falls Creek Airport,FLC,AU,-36.835456080688886,143.28527935203658
FLD,Fond Du Lac Airport,FLD,US,43.76824493731898,-88.48187001803777
FLE,Fort Lee Aaf,PTB,US,37.21360950408664,-77.39514110821892
FLF,Schaferhaus Airport,FLF,DE,54.76903640700073,9.379319074872706
FLG,Pulliam Field,GCN,US,35.133772505588155,-111.66947432563896
FLH,Flotta Airport,FLH,GB,58.49899246746094,-2.9965691940851436
FLI,Holt Airport,FLI,IS,66.01046568642579,-23.439703174771772
FLJ,Falls Bay Airport,FLJ,US,60.02879091700372,-148.00645637051116
FLL,Ft. Lauderdale International Airport,FLL,US,26.069580429773264,-80.1510677968057
FLM,Filadelfia Airport,FLM,PY,-22.351083719193046,-60.02879091700372
FLN,Hercilio Luz Airport,FLN,BR,-27.673862092215032,-48.546713582551604
FLO,Florence Airport,FLO,US,34.18839236218835,-79.72134644517436
FLP,Flippin Airport,FLP,US,36.296875174065875,-92.57852185956304
FLR,Peretola Airport,FLR,IT,43.8083518081253,11.207054644879669
FLS,Flinders Island Airport,FLS,AU,-40.095587333806016,148.00073267198667
FLT,Flat Airport,FLT,US,62.4524015817127,-157.9816471249913
FLU,Flushing Airport,NYC,US,40.77167702389431,-73.83133964460303
FLV,Sherman Army Air Field,FLV,US,39.36219918677048,-94.91618825394575
FLW,Santa Cruz Airport,FLW,PT,39.46533162814308,-31.145987049243722
FLX,Fallon Municipal Airport,NFL,US,39.46533162814308,-118.77988566672983
FLY,Finley Airport,FLY,AU,-35.65516524116483,145.58856940432662
FMA,El Pucu Airport,FMA,AR,-26.21281974195219,-58.22969859905485
FMC,Five Mile Airport,FMC,US,66.91573895901928,-149.83992503055268
FME,Tipton Aaf,FME,US,39.081451091126276,-76.75915487384236
FMG,Flamingo Airport,FMG,CR,10.41637230976513,-85.78324178639822
FMH,Otis Air Force Base,FMH,US,41.66548923906052,-70.54829310682051
FMI,Kalemie Airport,FMI,CD,-5.878547023804514,29.24949623373047
FMM,Allgaeu Airport,FMM,DE,47.99094450488225,10.24448547665988
FMN,Farmington Municipal Airport,FMN,US,36.73805416802992,-108.22600030463119
FMO,Muenster/Osnabrueck Airport,FMO,DE,52.133430330832894,7.689093995878317
FMR,Cap Canaveral,FMR,US,28.48173174460226,-81.2969822942371
FMS,Fort Madison Municipal Airport,FMS,US,40.65708352509442,-91.32374097695083
FMU,Florence Municipal,FMU,US,43.98024034877784,-124.10838944582358
FMY,Page Field,FMY,US,26.579512107922664,-81.86420901423914
