iata,name,city,country,latitude,longitude
PSC,Tri-Cities Airport,PSC,US,46.2606117013079,-119.11220169060762
PSD,Port Said Airport,PSD,EG,31.266307661662665,32.30335918900779
PSE,Mercedita Airport,PSE,PR,18.008063539210834,-66.56050765047608
PSF,Pittsfield Airport,PSF,US,42.42179608585603,-73.28702820926638
PSG,Petersburg Municipal Airport,PSG,US,56.803036005979266,-132.93766570287232
PSH,St Peter-Ording Airport,PSH,DE,54.49974595368922,8.118811932415085
PSI,Pasni Airport,PSI,PK,25.29608711947871,63.36340538301983
PSJ,Poso Airport,PSJ,ID,-1.386557856703384,120.73366127881198
PSK,New River Valley Airport,PSK,US,37.13339576247401,-80.67818764600145
PSL,Scone Airport,PSL,GB,56.23007875726358,-3.5637974081910735
PSM,Portsmouth Pease International,BOS,US,43.06350943385166,-70.76601904699301
PSN,Palestine Airport,PSN,US,31.781969868525703,-95.71260197154758
PSO,Cano Airport,PSO,CO,1.4610423502628425,-77.24616785223178
PSP,Palm Springs Municipal Airport,PSP,US,33.82169999621787,-116.49950406891601
PSQ,Philadelphia Spb,PHL,US,39.86640375130082,-75.2465480104405
PSR,Abruzzo Airport,PSR,IT,42.433253728188724,14.186435241031653
PSS,Posadas Airport,PSS,AR,-27.387381760309893,-55.966518832665706
PST,Preston Airport,PST,CU,20.74680205675128,-75.66480830464458
PSU,Putussibau Airport,PSU,ID,0.8307887790340316,112.93570943548929
PSV,Papa Stour Airport,PSV,GB,60.31526954136156,-1.6959550740995009
PSW,Passos Airport,PSW,BR,-20.718154535824954,-46.61584642494568
PSX,Palacios Airport,PSX,US,28.699454269680174,-96.24545234945695
PSY,Port Stanley Airport,PSY,FK,-51.703712394296126,-57.84582147713262
PSZ,Puerto Suarez Airport,PSZ,BO,-18.970631853656975,-57.79998407761266
PTA,Port Alsworth Airport,PTA,US,60.194948928942615,-145.330743423537
PTB,Petersburg Municipal Airport,PTB,US,37.21360950408664,-77.39514110821892
PTC,Port Alice Airport,PTC,US,55.783169234585884,-133.57937563577337
PTD,Port Alexander Airport,PTD,US,56.24726692830991,-134.6450763915921
PTE,Port Stephens Airport,PTE,AU,-32.784645053778156,151.75360743220685
PTF,Malololailai Airport,PTF,FJ,-17.784610485419282,177.22157967724354
PTG,Polokwane Airport,PTG,ZA,-23.920987331994844,29.971423323338723
PTH,Port Heiden Airport,PTH,US,56.95200584687183,-158.6348181153196
PTI,Port Douglas Airport,PTI,AU,-16.48972614709534,145.46824879190768
PTJ,Portland Airport,PTJ,AU,-38.388173229991644,141.62943659155042
PTK,Pontiac Airport,PTK,US,42.66243731069392,-83.41119904992284
PTL,Port Armstrong Airport,PTL,US,56.293104327829866,-134.66227480792222
PTM,Palmarito Airport,PTM,VE,7.563042854745731,-70.18160074085004
PTN,Patterson Municipal Heliport,PTN,US,29.70785998364627,-91.33520203437811
PLV,Poltava Airport,PLV,UA,49.57803799627768,34.53789655711249
PLW,Mutiara Airport,PLW,ID,-0.9167325157517732,119.90287804930664
PLX,Semipalatinsk Airport,PLX,KZ,50.32861431435955,80.25419682308373
PLY,Plymouth Airport,PLY,US,41.36182244365634,-86.29890057816668
PLZ,Port Elizabeth Airport,PLZ,ZA,-33.98785800815678,25.61694379347652
PMA,Wawi Airport,PMA,TZ,-5.242563777635708,39.803378180734526
PMB,Pembina Intermediate Airport,PMB,US,48.99935021884835,-98.07891417930934
PMC,Tepual Airport,PMC,CL,-41.43630907164991,-73.09795491266209
PMD,La/Palmdale Regional Airport,PMD,US,34.623840827438755,-118.08087044669239
PME,Fleetlands Heliport,PME,GB,50.798439121702636,-1.082890207525556
PMF,Parma Airport,MIL,IT,44.81675752209139,10.296051697346185
PMG,Ponta Pora International Airport,PMG,BR,-22.55161807322462,-55.6972283793542
PMH,Portsmouth Regional Airport,PMH,US,38.749135067248474,-82.98147769829149
PMI,Palma Mallorca Airport,PMI,ES,39.551275898469356,2.7444677655936194
PMK,Palm Island Airport,PMK,AU,-18.334649034374994,146.67146857647546
PML,Port Moller Afs,PML,US,56.000895174758384,-160.5542378758766
PMM,Phanom Sarakham Airport,PMM,TH,13.74525710084125,101.35050648985374
PMN,Pumani Airport,PMN,PG,-9.717363919916854,149.4044731502077
PMO,Punta Raisi Airport,PMO,IT,38.18190834724643,13.103544606619273
PMP,Pimaga Airport,PMP,PG,-6.66922893203223,143.41706102188283
PMQ,Perito Moreno Airport,PMQ,AR,-46.54136321204669,-70.97801445845187
PMR,Palmerston North Airport,PMR,NZ,-40.32477091631121,175.61729118461258
PMS,Palmyra Airport,PMS,SY,34.59519159896514,38.250661031431775
PMT,Paramakotoi Airport,PMT,GY,7.563042854745731,-57.18118942937702
PMU,Paimiut Spb,PMU,US,61.98257335927503,-160.33078140699047
PMV,Delcaribe Gen S Marino Airport,PMV,VE,10.966412566268135,-63.83322677526833
PMW,Palmas Airport,PMW,BR,-10.24448547665988,-48.35190975723367
PMX,Palmer Metropolitan Airport,PMX,US,42.14677510383088,-72.31300225248754
PMY,El Tehuelche Airport,PMY,AR,-42.73692052359291,-65.06508554302597
